% time	cellId	IMSI	RNTI	rsrp	sinr
0.0552143	2	2	1	7.16323e-14	3.30122
0.0562143	1	1	1	2.12244e-14	0.294347
0.0562143	2	2	1	7.16323e-14	3.30122
0.0572143	1	1	1	2.12244e-14	0.294347
0.0572143	2	2	1	7.16323e-14	3.30122
0.0582143	1	1	1	2.12244e-14	0.294347
0.0582143	2	2	1	7.16323e-14	3.30122
0.0592143	1	1	1	2.12244e-14	0.294347
0.0592143	2	2	1	7.16323e-14	3.30122
0.0602143	1	1	1	2.12244e-14	0.294347
0.0602143	2	2	1	7.16323e-14	3.30122
0.0612143	1	1	1	2.12244e-14	0.294347
0.0612143	2	2	1	7.16323e-14	3.30122
0.0622143	1	1	1	2.12244e-14	0.294347
0.0622143	2	2	1	7.16323e-14	3.30122
0.0632143	1	1	1	2.12244e-14	0.294347
0.0632143	2	2	1	7.16323e-14	3.30122
0.0642143	1	1	1	2.12244e-14	0.294347
0.0642143	2	2	1	7.16323e-14	3.30122
0.0652143	1	1	1	2.12244e-14	0.294347
0.0652143	2	2	1	7.16323e-14	3.30122
0.0662143	1	1	1	2.12244e-14	0.294347
0.0662143	2	2	1	7.16323e-14	3.30122
0.0672143	1	1	1	2.12244e-14	0.294347
0.0672143	2	2	1	7.16323e-14	3.30122
0.0682143	1	1	1	2.12244e-14	0.294347
0.0682143	2	2	1	7.16323e-14	3.30122
0.0692143	1	1	1	2.12244e-14	0.294347
0.0692143	2	2	1	7.16323e-14	3.30122
0.0702143	1	1	1	2.12244e-14	0.294347
0.0702143	2	2	1	7.16323e-14	3.30122
0.0712143	1	1	1	2.12244e-14	0.294347
0.0712143	2	2	1	7.16323e-14	3.30122
0.0722143	1	1	1	2.12244e-14	0.294347
0.0722143	2	2	1	7.16323e-14	3.30122
0.0732143	1	1	1	2.12244e-14	0.294347
0.0732143	2	2	1	7.16323e-14	3.30122
0.0742143	1	1	1	2.12244e-14	0.294347
0.0742143	2	2	1	7.16323e-14	3.30122
0.0752143	1	1	1	2.12244e-14	0.294347
0.0752143	2	2	1	7.16323e-14	3.30122
0.0762143	1	1	1	2.12244e-14	0.294347
0.0762143	2	2	1	7.16323e-14	3.30122
0.0772143	1	1	1	2.12244e-14	0.294347
0.0772143	2	2	1	7.16323e-14	3.30122
0.0782143	1	1	1	2.12244e-14	0.294347
0.0782143	2	2	1	7.16323e-14	3.30122
0.0792143	1	1	1	2.12244e-14	44.7449
0.0792143	2	2	1	7.16323e-14	151.014
0.0802143	1	1	1	2.12244e-14	44.7449
0.0802143	2	2	1	7.16323e-14	151.014
0.0812143	1	1	1	2.12244e-14	0.294347
0.0812143	2	2	1	7.16323e-14	3.30122
0.0822143	1	1	1	2.12244e-14	0.294347
0.0822143	2	2	1	7.16323e-14	3.30122
0.0832143	1	1	1	2.12244e-14	0.294347
0.0832143	2	2	1	7.16323e-14	3.30122
0.0842143	1	1	1	2.12244e-14	0.294347
0.0842143	2	2	1	7.16323e-14	3.30122
0.0852143	1	1	1	2.12244e-14	0.294347
0.0852143	2	2	1	7.16323e-14	3.30122
0.0862143	1	1	1	2.12244e-14	0.294347
0.0862143	2	2	1	7.16323e-14	3.30122
0.0872143	1	1	1	2.12244e-14	0.294347
0.0872143	2	2	1	7.16323e-14	3.30122
0.0882143	1	1	1	2.12244e-14	0.294347
0.0882143	2	2	1	7.16323e-14	3.30122
0.0892143	1	1	1	2.12244e-14	0.294347
0.0892143	2	2	1	7.16323e-14	3.30122
0.0902143	1	1	1	2.12244e-14	0.294347
0.0902143	2	2	1	7.16323e-14	3.30122
0.0912143	1	1	1	2.12244e-14	0.294347
0.0912143	2	2	1	7.16323e-14	3.30122
0.0922143	1	1	1	2.12244e-14	0.294347
0.0922143	2	2	1	7.16323e-14	3.30122
0.0932143	1	1	1	2.12244e-14	0.294347
0.0932143	2	2	1	7.16323e-14	3.30122
0.0942143	1	1	1	2.12244e-14	0.294347
0.0942143	2	2	1	7.16323e-14	3.30122
0.0952143	1	1	1	2.12244e-14	0.294347
0.0952143	2	2	1	7.16323e-14	3.30122
0.0962143	1	1	1	2.12244e-14	0.294347
0.0962143	2	2	1	7.16323e-14	3.30122
0.0972143	1	1	1	2.12244e-14	0.294347
0.0972143	2	2	1	7.16323e-14	3.30122
0.0982143	1	1	1	2.12244e-14	0.294347
0.0982143	2	2	1	7.16323e-14	3.30122
0.0992143	1	1	1	2.12244e-14	0.294347
0.0992143	2	2	1	7.16323e-14	3.30122
0.100214	1	1	1	2.12244e-14	0.294347
0.100214	2	2	1	7.16323e-14	3.30122
0.101214	1	1	1	2.12244e-14	0.294347
0.101214	2	2	1	7.16323e-14	3.30122
0.102214	1	1	1	2.12244e-14	44.7449
0.102214	2	2	1	7.16323e-14	151.014
0.103214	1	1	1	2.12244e-14	0.294347
0.103214	2	2	1	7.16323e-14	3.30122
0.104214	1	1	1	2.12244e-14	0.294347
0.104214	2	2	1	7.16323e-14	3.30122
0.105214	1	1	1	2.12244e-14	0.294347
0.105214	2	2	1	7.16323e-14	3.30122
0.106214	1	1	1	2.12244e-14	0.294347
0.106214	2	2	1	7.16323e-14	3.30122
0.107214	1	1	1	2.12244e-14	0.294347
0.107214	2	2	1	7.16323e-14	3.30122
0.108214	1	1	1	2.12244e-14	0.294347
0.108214	2	2	1	7.16323e-14	3.30122
0.109214	1	1	1	2.12244e-14	0.294347
0.109214	2	2	1	7.16323e-14	3.30122
0.110214	1	1	1	2.12244e-14	0.294347
0.110214	2	2	1	7.16323e-14	3.30122
0.111214	1	1	1	2.12244e-14	0.294347
0.111214	2	2	1	7.16323e-14	3.30122
0.112214	1	1	1	2.12244e-14	0.294347
0.112214	2	2	1	7.16323e-14	3.30122
0.113214	1	1	1	2.12244e-14	0.294347
0.113214	2	2	1	7.16323e-14	3.30122
0.114214	1	1	1	2.12244e-14	0.294347
0.114214	2	2	1	7.16323e-14	3.30122
0.115214	1	1	1	2.12244e-14	0.294347
0.115214	2	2	1	7.16323e-14	3.30122
0.116214	1	1	1	2.12244e-14	0.294347
0.116214	2	2	1	7.16323e-14	3.30122
0.117214	1	1	1	2.12244e-14	0.294347
0.117214	2	2	1	7.16323e-14	3.30122
0.118214	1	1	1	2.12244e-14	0.294347
0.118214	2	2	1	7.16323e-14	3.30122
0.119214	1	1	1	2.12244e-14	0.294347
0.119214	2	2	1	7.16323e-14	3.30122
0.120214	1	1	1	2.12244e-14	0.294347
0.120214	2	2	1	7.16323e-14	3.30122
0.121214	1	1	1	2.12244e-14	0.294347
0.121214	2	2	1	7.16323e-14	3.30122
0.122214	1	1	1	2.12244e-14	0.294347
0.122214	2	2	1	7.16323e-14	3.30122
0.123214	1	1	1	2.12244e-14	0.294347
0.123214	2	2	1	7.16323e-14	3.30122
0.124214	1	1	1	2.12244e-14	0.294347
0.124214	2	2	1	7.16323e-14	3.30122
0.125214	1	1	1	2.12244e-14	0.294347
0.125214	2	2	1	7.16323e-14	3.30122
0.126214	1	1	1	2.12244e-14	0.294347
0.126214	2	2	1	7.16323e-14	3.30122
0.127214	1	1	1	2.12244e-14	0.294347
0.127214	2	2	1	7.16323e-14	3.30122
0.128214	1	1	1	2.12244e-14	0.294347
0.128214	2	2	1	7.16323e-14	3.30122
0.129214	1	1	1	2.12244e-14	0.294347
0.129214	2	2	1	7.16323e-14	3.30122
0.130214	1	1	1	2.12244e-14	0.294347
0.130214	2	2	1	7.16323e-14	3.30122
0.131214	1	1	1	2.12244e-14	0.294347
0.131214	2	2	1	7.16323e-14	3.30122
0.132214	1	1	1	2.12244e-14	0.294347
0.132214	2	2	1	7.16323e-14	3.30122
0.133214	1	1	1	2.12244e-14	0.294347
0.133214	2	2	1	7.16323e-14	3.30122
0.134214	1	1	1	2.12244e-14	0.294347
0.134214	2	2	1	7.16323e-14	3.30122
0.135214	1	1	1	2.12244e-14	0.294347
0.135214	2	2	1	7.16323e-14	3.30122
0.136214	1	1	1	2.12244e-14	0.294347
0.136214	2	2	1	7.16323e-14	3.30122
0.137214	1	1	1	2.12244e-14	0.294347
0.137214	2	2	1	7.16323e-14	3.30122
0.138214	1	1	1	2.12244e-14	0.294347
0.138214	2	2	1	7.16323e-14	3.30122
0.139214	1	1	1	2.12244e-14	0.294347
0.139214	2	2	1	7.16323e-14	3.30122
0.140214	1	1	1	2.12244e-14	0.294347
0.140214	2	2	1	7.16323e-14	3.30122
0.141214	1	1	1	2.12244e-14	0.294347
0.141214	2	2	1	7.16323e-14	3.30122
0.142214	1	1	1	2.12244e-14	0.294347
0.142214	2	2	1	7.16323e-14	3.30122
0.143214	1	1	1	2.12244e-14	0.294347
0.143214	2	2	1	7.16323e-14	3.30122
0.144214	1	1	1	2.12244e-14	0.294347
0.144214	2	2	1	7.16323e-14	3.30122
0.145214	1	1	1	2.12244e-14	0.294347
0.145214	2	2	1	7.16323e-14	3.30122
0.146214	1	1	1	2.12244e-14	0.294347
0.146214	2	2	1	7.16323e-14	3.30122
0.147214	1	1	1	2.12244e-14	0.294347
0.147214	2	2	1	7.16323e-14	3.30122
0.148214	1	1	1	2.12244e-14	0.294347
0.148214	2	2	1	7.16323e-14	3.30122
0.149214	1	1	1	2.12244e-14	0.294347
0.149214	2	2	1	7.16323e-14	3.30122
0.150214	1	1	1	2.12244e-14	0.294347
