% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
0	0.25	1	1	1	3	216	25956	199	16119	0.003	0	0.003	0.003	81	0	81	81	
0	0.25	2	2	1	3	229	49381	227	48947	0.003	0	0.003	0.003	215.626	23.6032	81	309	
0.25	0.5	1	1	1	3	239	23589	212	17172	0.003	0	0.003	0.003	81	0	81	81	
0.25	0.5	2	2	1	3	250	54434	250	54434	0.003	0	0.003	0.003	217.736	8.21219	217	309	
0.5	0.75	1	1	1	3	230	31320	201	16281	0.003	0	0.003	0.003	81	0	81	81	
0.5	0.75	2	2	1	3	250	54802	250	54802	0.003	0	0.003	0.003	219.208	14.1088	217	309	
0.75	1	1	1	1	3	218	43038	185	14985	0.003	0	0.003	0.003	81	0	81	81	
0.75	1	2	2	1	3	250	55354	250	55354	0.003	0	0.003	0.003	221.416	19.7059	217	309	
1	1.25	1	1	1	3	213	42633	184	14904	0.003	0	0.003	0.003	81	0	81	81	
1	1.25	2	2	1	3	250	55354	250	55354	0.003	0	0.003	0.003	221.416	19.7059	217	309	
1.25	1.5	1	1	1	3	219	34659	187	15147	0.003	0	0.003	0.003	81	0	81	81	
1.25	1.5	2	2	1	3	250	54986	250	54986	0.003	0	0.003	0.003	219.944	16.2245	217	309	
