% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
0	0.25	1	1	1	3	144	36948	7	567	0.01	0	0.01	0.01	81	0	81	81	
0	0.25	2	2	1	3	185	179425	181	175109	0.00470166	0.00301099	0.003	0.01	967.453	324.834	81	1383	
0.25	0.5	1	1	1	3	155	46611	69	5589	0.01	0	0.01	0.01	81	0	81	81	
0.25	0.5	2	2	1	3	189	195115	188	193732	0.00527128	0.00328598	0.003	0.01	1030.49	300.906	775	1383	
0.5	0.75	1	1	1	3	151	38547	0	0	0	0	0	0	0	0	0	0	
0.5	0.75	2	2	1	3	194	189870	196	192028	0.00496428	0.00315314	0.003	0.01	979.735	288.073	775	1383	
0.75	1	1	1	1	3	152	39144	38	3078	0.01	0	0.01	0.01	81	0	81	81	
0.75	1	2	2	1	3	198	192362	199	193745	0.00482914	0.00308318	0.003	0.01	973.593	285.86	775	1383	
1	1.25	1	1	1	3	156	46176	0	0	0	0	0	0	0	0	0	0	
1	1.25	2	2	1	3	191	195449	190	194674	0.00521053	0.0032624	0.003	0.01	1024.6	299.883	775	1383	
1.25	1.5	1	1	1	3	155	47643	282	22842	0.01	0	0.01	0.01	81	0	81	81	
1.25	1.5	2	2	1	3	183	191681	184	193064	0.00554891	0.00337749	0.003	0.01	1049.26	303.367	775	1383	
