% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
0	0.25	2	2	1	3	229	492309	227	487917	0.003	0	0.003	0.003	2149.41	311.103	81	2196	
0.25	0.5	1	1	8	3	79	71964	0	0	0	0	0	0	0	0	0	0	
0.25	0.5	2	2	1	3	211	450396	209	446004	0.00430622	0.00273369	0.003	0.01	2133.99	136.261	1836	2196	
0.5	0.75	1	1	8	3	158	80478	0	0	0	0	0	0	0	0	0	0	
0.5	0.75	2	2	1	3	193	380268	193	380988	0.00506736	0.00320166	0.003	0.01	1974.03	175.494	1836	2196	
0.75	1	1	1	8	3	156	76086	0	0	0	0	0	0	0	0	0	0	
0.75	1	2	2	1	3	198	393768	199	395244	0.00475879	0.00304381	0.003	0.01	1986.15	177.955	1836	2196	
1	1.25	1	1	8	3	161	150516	0	0	0	0	0	0	0	0	0	0	
1	1.25	2	2	1	3	195	386100	194	384624	0.0050567	0.00319681	0.003	0.01	1982.6	177.331	1836	2196	
1.25	1.5	1	1	8	3	159	152469	0	0	0	0	0	0	0	0	0	0	
1.25	1.5	2	2	1	3	195	381780	196	383256	0.00492857	0.00313541	0.003	0.01	1955.39	169.922	1836	2196	
